"origin key","mapping key"
"citigroup","citigroup"
"walt disney imagineering","disney"
"wachovia, a wells fargo company","wells fargo"
"merck & co., inc","merck"
"ibm: cognitive analytics","ibm"
"cisco systems","cisco systems"
"west side ecumenical ministry","west"
"ibm spss","ibm"
"lockheed martin - advanced technology labs","lockheed martin"
"pigeons west","west"
"washington square news","news"
"american express/m2resources","express"
"tacoda / aol","aol"
"microsoft - windows azure","microsoft"
"adobe systems incorporated","adobe systems"
"stubhub \ ebay","ebay"
"bank of america merrill lynch","bank of america"
"mattel, inc.","mattel"
"genworth financial","genworth financial"
"aig, science team","aig"
"intel corporation","intel"
"oracle korea","oracle"
"st. jude medical","st. jude medical"
"scripps lifestyle network at scripps networks interactive","scripps networks interactive"
"computer sciences corp. (csc)","computer sciences"
"at&t big data","at&t"
"northrop grumman","northrop grumman"
"cme group","cme group"
"brunswick corporation","brunswick"
"project:  microsoft smsg readiness","microsoft"
"ibm danmark aps","ibm"
"xerox research center","xerox"
"united services automobile association usaa","usaa"
"teksystems @ ford motor company","ford motor"
"at&t foundry","at&t"
"facebook","facebook"
"northern trust hedge fund services","northern trust"
"yahoo search marketing (formerly overture)","yahoo"
"intel corp","intel"
"streamsage, comcast search and discovery","comcast"
"european southern observatory","southern"
"ebay advertising","ebay"
"jetblue airways","jetblue airways"
"teradata labs","teradata"
"anthem blue cross and blue shield","anthem"
"university of southern maine","southern"
"oracle education","oracle"
"pitney bowes","pitney bowes"
"dow chemical","dow chemical"
"revolution analytics now microsoft advanced analytics","microsoft"
"stubhub - ebay","ebay"
"ibm watson research","ibm"
"ford motor company","ford motor"
"northrop grumman corporation","northrop grumman"
"tyson foods inc","tyson foods"
"merck co inc","merck"
"ibm india software labs","ibm"
"monsanto","monsanto"
"unitedhealth group","unitedhealth group"
"carmax","carmax"
"hp enterprise services","hp"
"metlife inc","metlife"
"ups","ups"
"architecture@zero (pg&e) open design community","pg&e"
"kemper","kemper"
"universal music group","universal"
"joy global inc.","joy global"
"coca-cola refreshments","coca-cola"
"yahoo! research","yahoo"
"kla-tencor, central marketing, wafer inspection group","kla-tencor"
"disney research pittsburgh","disney"
"c.h. robinson worldwide, inc.","c.h. robinson worldwide"
"harley-davidson motor company","harley-davidson"
"3m cogent","3m"
"molina healthcare","molina healthcare"
"reinsurance group of america","reinsurance group of america"
"bio-rad laboratories","bio-rad laboratories"
"east-west center","west"
"midas+ solutions, a xerox company","xerox"
"moody's investors service","moody's"
"general motors","general motors"
"microsoft corp.","microsoft"
"caterpillar trimble control technologies llc","caterpillar"
"con-way freight","con-way"
"mondelez international","mondelez international"
"netapp solidfire","netapp"
"cityeats - scripps networks interactive","scripps networks interactive"
"wellcare health plans","wellcare health plans"
"at&t mobility","at&t"
"anthem","anthem"
"tyson foods","tyson foods"
"contract at monsanto company","monsanto"
"convertro (aol)","aol"
"tiaa-cref","tiaa-cref"
"mathematical sciences research institute (berkeley, ca)","ca"
"stanley black & decker, inc.","stanley black & decker"
"the planet / softlayer / ibm","ibm"
"clorox","clorox"
"3m","3m"
"lockheed martin space operations","lockheed martin"
"boeing - bca features strategy","boeing"
"microsoft (fiveby solutions inc)","microsoft"
"disney","disney"
"twice (acquired by ebay)","ebay"
"varian medical systems","varian medical systems"
"litton guidance & controls (now part of northrop grumman/formerly teledyne systems company)","northrop grumman"
"nhs south west london","west"
"allstate","allstate"
"cbs interactive","cbs"
"health sciences & technology academy, west virginia","west"
"the coca-cola company","coca-cola"
"bank of the west","west"
"first data corporation","first data"
"wd, a western digital company","western digital"
"sandisk","sandisk"
"coventry workers' comp services, an aetna company","aetna"
"polaris industries inc","polaris industries"
"new media lab- southern illinois university","southern"
"ixi corporation (an equifax company)","equifax"
"kellogg company - morning star","kellogg"
"pfizer pharmaceuticals","pfizer"
"ebay inc","ebay"
"southern cross engineering","southern"
"intel micron flash","intel"
"ibm research division","ibm"
"unitedhealth group- business process & quality management","unitedhealth group"
"agilent technologies inc","agilent technologies"
"cognizant technology solutions","cognizant technology solutions"
"microsoft ","microsoft"
"ibm in ireland","ibm"
"cvs health","cvs health"
"macy's inc","macy's"
"levi strauss & co.","levi strauss"
"skilledup, a division of apollo education group","apollo education group"
"southern illinois university","southern"
"johnson & johnson","johnson & johnson"
"ford motor credit company","ford motor"
"mccormick","mccormick"
"wells fargo & co.","wells fargo"
"flowserve corporation","flowserve"
"amazon.com","amazon"
"news corporation/various","news"
"united technologies corp","united technologies"
"kohl's department stores","kohl's"
"intel lab at berkeley","intel"
"at&t","at&t"
"texas instruments, central research laboratories","texas instruments"
"pfizer/american medical systems","pfizer"
