"cluster_number","position_number","Business","Data Science","Computer Science","Management Science and Engineering","Engineering","Economics","Mathematics","Statistics","Information Science","Biological Engineering","Physics","Operations Research","Electrical and Electronics Engineering","Chemical Engineering","Sociology","Industrial Engineering","Geography","Cognitive Science","Psychology","Linguistics","Environmental Engineering","Astrophysics","Transportation Engineering"
0,4915,3577,3559,3410,2658,2325,1669,1447,1319,689,383,369,353,193,129,123,63,54,51,41,41,12,10,4
0,8192,0,0,0.003621422985408791,0.00515817815387557,0.004648026248856257,0.006563086190097844,0.0068570901183298075,0,0.010130620754216375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.003542375802086423,0.0031219163667317164,0.004446705305065146,0,0.005657832922498141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8194,0.003258175744500344,0.003094243923509225,0,0.0038841702965930498,0,0.004942082974471268,0.00516347147464594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0.0032289980512660126,0,0.002702554466722978,0.0038493866819966937,0,0.004897825514998391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.0021764876200686405,0.00206697984427578,0,0.002594657019052098,0,0,0,0,0.0050958856912557225,0.005292144427518492,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0.002761529523131889,0.0024337520063231126,0,0,0,0,0,0,0.0070704187647222866,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0.003542375802086423,0.0031219163667317164,0.004446705305065146,0,0.005657832922498141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0.00247539513880738,0.002181580111692043,0.0031073362372744397,0.0056000316251280215,0,0,0,0,0.006337821157775158,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8204,0,0,0.0016796952622489755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0.0029555036808035905,0,0,0.003523345733521564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0.0029555036808035905,0,0,0.003523345733521564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8207,0.0016120929168019587,0.0015309820903205106,0.0013492634073803244,0.0019218249455572167,0.003463506891845199,0.0024452631110647703,0.0025548025776191536,0.002684805916375678,0.003774448865207293,0,0,0,0,0,0,0.0059761133563250995,0,0,0,0,0,0,0
