"cluster_number","position_number","development","analysis","analytics","management","python","design","r","engineering","machine learning","communication","sql","modeling","algorithm","big data","database","hadoop","visualization","strategy","mathematics","java","statistic","testing","data mining","intelligence","processing","spark","security","c","access","excel","optimization","computing","hive","integration","improvement","tableau","scripting","scala","matlab","regression","linux","nosql","aws","spss","pig","saas","clustering","oracle","go","classification","javascript","mapreduce","automation","forecasting","powerpoint","b2b","segmentation","unix","word","dashboard","deep learning","defense","hbase","perl","d3","advertising","cluster","operation research","simulation","data collection","apache","hardware","command","troubleshooting","probability","ruby","mongodb","mysql","hdfs","data warehousing","econometrics","scrum","cassandra","pricing","git","statistical software","manufacturing","html","data architecture","critical thinking","fraud","microsoft office","physic","teradata","quality assurance","experimentation","data integration","customer service","bioinformatics","sa"
0,4915,3188,3123,2831,2658,2501,2493,2401,2316,2223,2223,2092,1945,1676,1630,1607,1595,1476,1370,1343,1315,1283,1122,1120,1111,1079,1067,1029,846,809,756,754,749,748,732,729,703,625,580,564,545,538,510,467,439,406,382,381,375,371,370,354,327,323,320,306,304,296,295,292,290,289,283,281,267,267,261,250,241,239,233,233,225,218,211,207,205,198,187,184,183,183,182,182,179,174,172,170,169,166,166,163,159,153,153,151,147,147,145,143,11
0,8192,0.024219220048282374,0,0,0.006230677305038104,0,0,0,0.004648026248856257,0,0.006026180104332745,0.002666199448621951,0,0,0.005090900505450671,0.015166703400527977,0,0,0.0061791192886743,0.006981452260546067,0.014863463919027082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008998864358975863,0,0,0.015041529862936782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.004175727594531444,0.004558135607919743,0.0026120493442346885,0.0026856367694129755,0,0.005023458657349605,0.0019132057908461933,0,0.002260405937358756,0.0051949828485627104,0.009193791202144658,0,0,0,0.01307474431079998,0,0.005520953934062194,0,0,0,0.014627418236160965,0,0,0,0,0,0,0,0.015970119503398158,0,0,0,0,0,0.009262781021858993,0,0,0,0,0,0,0.009437402980229386,0,0.007608099416750225,0,0.021237099030662336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012980712146760954,0,0,0.013570680590680997,0,0,0,0.013521536651762131,0,0,0,0,0,0,0,0,0,0
0,8194,0.007294945797675414,0,0.020534484302567883,0.002345887539547479,0,0.008775921750791478,0,0,0,0.0045377862231421266,0.002007680307697252,0,0,0,0.005710355195981919,0,0.004822520002644688,0.009305902543184186,0.005257117666073846,0,0.006388480856154639,0.011642120660313868,0,0.0043579133008701,0,0,0,0,0,0.004828107093835713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013358100084469542,0,0,0,0,0,0,0,0,0.010561448702167306,0,0,0,0,0,0,0,0,0,0.021839455102176168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769656616653503,0,0,0,0,0,0,0,0,0,0,0,0
0,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04824306933318193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0.0036148089624302047,0.0009864621838035265,0,0.0046497591828642566,0,0.00434866570337727,0.0016562079980459584,0,0.00195676931890758,0.0044971493315916,0.0019897010810611573,0,0.011067483334780165,0,0.005659217686764171,0,0.0047793332563523475,0,0,0,0,0,0.006334266652782501,0.008637774423217155,0.004874889810957374,0,0.006506118051814358,0,0,0,0,0,0,0,0,0,0,0,0.0038101527989195965,0.006812382091735121,0,0,0,0.006586115913007657,0,0,0.009622127046436448,0.007824353086991559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007087038587126036,0,0,0,0,0,0,0,0,0,0,0,0,0.011635626917941132,0,0,0,0,0,0,0,0,0
0,5,0.002436541252342291,0,0,0.0062682870272013115,0,0,0,0,0,0.003031277718477236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010809684089895808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0.0017766926428719428,0,0,0.0014012137439603925,0,0.0014914776326489143,0,0.001762144413532364,0,0.0017918007047190532,0,0,0,0.005096338508241928,0,0.00860793892945181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014296468355966303,0,0,0,0.005400607761085462,0.006540549401738343,0,0,0.006134806453578672,0.004946709052530281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009425809056772972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008761444328636977,0
0,9,0.004175727594531444,0.004558135607919743,0.0026120493442346885,0.0026856367694129755,0,0.005023458657349605,0.0019132057908461933,0,0.002260405937358756,0.0051949828485627104,0.009193791202144658,0,0,0,0.01307474431079998,0,0.005520953934062194,0,0,0,0.014627418236160965,0,0,0,0,0,0,0,0.015970119503398158,0,0,0,0,0,0.009262781021858993,0,0,0,0,0,0,0.009437402980229386,0,0.007608099416750225,0,0.021237099030662336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012980712146760954,0,0,0.013570680590680997,0,0,0,0.013521536651762131,0,0,0,0,0,0,0,0,0,0
0,10,0.008753934957210496,0.000796300798973931,0,0.001876710031637983,0.001256027741574135,0.0035103687003165914,0.0013369389863744485,0.0056000316251280215,0.0015795607755037095,0,0.001606144246157802,0,0.004466996285724525,0,0.004568284156785536,0,0.007716032004231501,0,0,0.002984631309041583,0,0.004656848264125548,0,0,0,0,0,0.003013546804573729,0,0,0,0.019222721307540235,0,0.005557212342637621,0,0,0.005862853921558225,0,0,0,0.004434158476003047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069702966686238585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015707264049411834,0
0,8204,0.002246680895016918,0.0006131072942007075,0,0,0.0019341429044648088,0,0.0020587372146396886,0,0.0012161738809536907,0,0.0012366416737578621,0.001506763801524216,0,0.0023612711064242443,0.010551973608901654,0.0023836855313535527,0.0059409151795103395,0,0,0,0,0.003585513969595737,0,0,0,0.0031263956164693115,0,0,0,0,0,0.004933475165509707,0,0,0,0.003727321126389224,0,0.009055904963631305,0,0,0,0,0.009692770852757965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005603327072699989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0.006617273237235621,0.0009029093758857413,0,0.010639817802319165,0,0.011941008283863816,0,0,0,0.004116243240664443,0.005463523460290883,0.004437954584817227,0,0,0.01553965512349178,0,0,0,0,0,0,0,0,0.0039530798248329875,0,0,0,0,0.006326959912548451,0.004379594412987587,0,0,0,0,0,0,0,0,0,0,0,0.03738861836429675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007450265526498183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010274269032060643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0.006617273237235621,0.0009029093758857413,0,0.010639817802319165,0,0.011941008283863816,0,0,0,0.004116243240664443,0.005463523460290883,0.004437954584817227,0,0,0.01553965512349178,0,0,0,0,0,0,0,0,0.0039530798248329875,0,0,0,0,0.006326959912548451,0.004379594412987587,0,0,0,0,0,0,0,0,0,0,0,0.03738861836429675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007450265526498183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010274269032060643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8207,0.007218843531529768,0.0024624801160520217,0.0011289035913980025,0.00928565917293309,0.0007768278878588166,0.004342184830495932,0.0008268698648962684,0.003463506891845199,0,0.002245223585816969,0.0009933679018710696,0.0036310537512140944,0.008288241990651316,0,0.002825391840634869,0,0,0.0023022053981647914,0.002601137205866642,0,0,0,0.0031624133065307563,0,0,0,0,0.0018638180684025297,0,0,0.0029806391317265903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040012455852077074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011114038822919007,0,0.005865122759012651,0,0,0,0,0,0,0,0,0,0,0,0.005109567425614965,0,0
0,16,0.008109113855451686,0.0014752894266704523,0.005072506539027185,0.01043082138120218,0,0.006503584868890113,0,0,0,0,0,0.0054384755961264675,0,0,0,0,0.007147663575348376,0,0.0038958996989654393,0,0.009468641268943482,0,0.004736561001522629,0,0,0,0.004865065953923682,0,0,0.0035779722213246804,0.004464305485242281,0,0,0,0,0.004484433230187035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026180616123484983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008466601966343851,0.0059929370260588645,0,0,0,0,0,0,0,0,0,0,0,0.006846559285134465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,0.008322756030337585,0,0.005206146459299379,0.002676407777078223,0,0.00500619591282263,0,0,0,0,0,0,0,0.004373625863789235,0.013029813917979362,0.0088302852329867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006872882671438289,0,0,0,0,0,0,0,0,0,0.0063236280671521115,0,0,0,0,0,0,0,0.01126774293823927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01150604154584217,0,0,0,0.02267328690239004,0,0,0,0.0077309831262679235,0,0,0.025844553029101,0,0,0.010161841112788231,0,0,0,0,0,0,0,0.009940457448381103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,0,0.003887821547931545,0.005941131841788703,0,0.0020441235794245722,0.005712952982868178,0.0021758026640995923,0,0.002570657732682507,0,0,0.00955465516495944,0.014539634969221001,0.004991078926912421,0,0.005038456868233588,0.012557463850023815,0.0060579600869355875,0.006844561039751046,0.00485734115000885,0,0,0.008321487563459363,0,0.012808534013103686,0.006608342106968466,0,0,0,0,0,0,0.008158829836678755,0,0,0,0.009541507362535935,0,0,0,0,0,0,0.008652348356304178,0.01055031346319918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01123941468348772,0,0,0.012937110761951963,0,0,0,0,0,0,0,0,0,0.0115964539757701,0,0,0,0,0,0.014762378519845791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0.006510543023731821,0.0035533852857438856,0.00407255005283903,0.0041872831351062526,0.002802427487920785,0,0.0029829552652978287,0.006247347108677766,0,0,0.0035836014094381063,0,0,0,0,0,0.00860793892945181,0,0.00938367239320708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010801215522170924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8213,0.00938729459235751,0.0025617428804200104,0,0,0,0.022586093188083495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016441671660801085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054362805722783646,0,0,0,0,0,0,0,0,0,0.056206969720329354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
