"company type(2: first 100, 1: first 500, 0: not in fortune list","company name","position","profile"
2,"dow chemical","[2366]","[1986, 2860, 3079, 3888]"
2,"ups","[]","[128, 132, 1253, 1912, 2334, 2433, 2435, 3457, 3730, 4738, 4945]"
2,"chevron","[]","[148, 174, 174, 174, 174, 174, 174, 207, 207, 207, 207, 207, 207, 1710, 3960, 3995, 4330]"
2,"google","[2123, 6495]","[11, 48, 50, 93, 93, 276, 483, 1085, 1115, 1115, 1115, 1278, 1333, 1780, 2164, 2164, 2216, 2362, 2396, 2597, 2629, 2770, 2817, 2831, 3014, 3014, 3075, 3104, 3123, 3246, 3257, 3326, 3347, 3444, 3444, 3444, 3500, 3500, 3518, 3543, 3692, 3695, 3695, 3695, 3709, 3710, 3723, 3725, 3750, 3806, 3848, 3852, 3896, 3943, 3966, 4012, 4041, 4044, 4094, 4140, 4191, 4217, 4224, 4226, 4229, 4247, 4253, 4253, 4253, 4254, 4277, 4302, 4322, 4378, 4378, 4596, 4622, 4660, 4660, 4660, 5136, 5174, 5177, 5181, 5395, 5395, 5569, 5737]"
2,"phillips 66","[]","[1107]"
2,"general electric","[]","[885, 1602, 1680, 1684, 4072, 4767, 4903, 4903]"
2,"anthem","[1491, 1523, 1570, 1676, 1813, 1834]","[1430, 1520, 5351, 5617]"
2,"microsoft","[496, 980, 3517, 3872, 4520, 4529, 4735, 7720]","[34, 99, 133, 141, 158, 178, 484, 494, 500, 577, 746, 787, 900, 985, 986, 1044, 1052, 1073, 1140, 1181, 1265, 1269, 1269, 1272, 1274, 1276, 1278, 1281, 1281, 1288, 1288, 1358, 1385, 1432, 1655, 1655, 1655, 1655, 1739, 1740, 1780, 1836, 1936, 1936, 1980, 2162, 2164, 2193, 2264, 2289, 2339, 2354, 2402, 2420, 2558, 2558, 2558, 2558, 2609, 2611, 2611, 2614, 2624, 2629, 2629, 2629, 2629, 2630, 2632, 2632, 2635, 2635, 2638, 2654, 2654, 2654, 2655, 2655, 2656, 2656, 2657, 2657, 2657, 2657, 2657, 2663, 2664, 2666, 2667, 2668, 2670, 2670, 2670, 2670, 2670, 2673, 2674, 2674, 2675, 2678, 2679, 2680, 2680, 2680, 2681, 2681, 2683, 2683, 2684, 2684, 2684, 2684, 2687, 2687, 2687, 2687, 2690, 2694, 2696, 2699, 2699, 2703, 2704, 2705, 2705, 2705, 2705, 2706, 2708, 2708, 2708, 2708, 2709, 2710, 2711, 2714, 2714, 2714, 2715, 2715, 2716, 2716, 2716, 2716, 2716, 2716, 2717, 2717, 2722, 2722, 2724, 2724, 2724, 2726, 2726, 2726, 2727, 2727, 2730, 2735, 2737, 2737, 2737, 2738, 2738, 2738, 2738, 2739, 2739, 2739, 2739, 2739, 2739, 2739, 2743, 2744, 2745, 2746, 2747, 2747, 2747, 2749, 2751, 2751, 2753, 2754, 2756, 2760, 2761, 2762, 2762, 2763, 2763, 2763, 2763, 2764, 2770, 2777, 2779, 2779, 2779, 2779, 2780, 2780, 2780, 2780, 2781, 2783, 2783, 2783, 2783, 2783, 2784, 2785, 2789, 2789, 2789, 2789, 2790, 2792, 2792, 2792, 2792, 2792, 2792, 2792, 2792, 2793, 2793, 2793, 2794, 2795, 2797, 2797, 2797, 2797, 2801, 2802, 2806, 2807, 2809, 2812, 2814, 2814, 2814, 2818, 2818, 2818, 2818, 2818, 2819, 2819, 2819, 2819, 2821, 2825, 2832, 2834, 2835, 2835, 2836, 2838, 2840, 2840, 2840, 2844, 2847, 2847, 2847, 2847, 2847, 2853, 2853, 2855, 2857, 2858, 2858, 2858, 2858, 2858, 2858, 2860, 2861, 2865, 2866, 2866, 2870, 2871, 2872, 2875, 2875, 2875, 2875, 2878, 2878, 2878, 2882, 2882, 2884, 2884, 2949, 3094, 3118, 3118, 3166, 3179, 3297, 3368, 3368, 3451, 3612, 3643, 3709, 3742, 3742, 3742, 3750, 3752, 3752, 3779, 3786, 3786, 3814, 3860, 3862, 3862, 3862, 3871, 3908, 3968, 3980, 3982, 3983, 4010, 4058, 4111, 4140, 4150, 4161, 4175, 4176, 4191, 4203, 4226, 4252, 4254, 4258, 4260, 4260, 4260, 4260, 4274, 4277, 4284, 4293, 4302, 4336, 4336, 4368, 4384, 4422, 4422, 4496, 4579, 4670, 4741, 4741, 4759, 4795, 4848, 4848, 4850, 4850, 4908, 4952, 5000, 5005, 5037, 5079, 5136, 5136, 5162, 5181, 5184, 5198, 5198, 5411, 5512, 5527, 5529, 5529, 5583, 5753, 5753]"
2,"home depot","[4963, 5016, 5199, 5210]","[482, 529, 672, 1105, 1122, 1132, 1133, 1147, 1163, 1167, 1167, 1183, 2693, 3419, 3457, 3856, 5215, 5260]"
2,"walmart","[1780, 3728, 3734, 3801, 3947, 3993, 4082, 4144]","[531, 683, 1472, 1551, 1636, 1644, 2465, 2623, 3221, 3224, 3236, 3353, 3353, 3353, 3417, 3443, 3860, 3938, 3971, 3971, 3988, 3988, 3988, 4048, 4082, 4082, 4261, 4338, 4345, 4345, 4390, 4408]"
