"job post","major education years","major education years skills(0.100000)","major education years skills(0.200000)","major education years skills(0.300000)","major education years skills(0.400000)","major education years skills(0.500000)"
8192,3769,2780,1760,873,376,33
1,123,92,38,6,1,0
8194,1277,924,309,78,7,0
8195,44,44,44,44,44,44
4,965,877,617,267,66,6
5,1784,1784,1784,497,497,53
8,0,0,0,0,0,0
9,123,92,38,6,1,0
10,0,0,0,0,0,0
8204,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
8207,797,758,602,323,96,5
16,4523,4145,2664,1037,226,24
17,3278,2369,894,480,83,2
18,123,116,66,33,9,2
20,123,116,101,67,40,20
8213,808,808,220,220,39,2
8214,3663,2874,1171,673,178,33
23,0,0,0,0,0,0
24,2075,2017,1613,1230,474,106
8217,0,0,0,0,0,0
26,1440,1362,827,229,102,9
8219,3277,2339,1155,425,115,5
28,0,0,0,0,0,0
29,80,45,21,6,0,0
30,869,869,524,227,227,62
32,0,0,0,0,0,0
33,964,923,804,552,283,140
8226,0,0,0,0,0,0
36,5288,4863,3560,2154,1047,353
8229,0,0,0,0,0,0
38,581,581,327,160,52,14
39,964,923,804,552,283,140
40,905,752,216,91,5,0
8233,1492,1451,1164,658,388,81
42,5216,5216,4753,3761,2306,1056
43,0,0,0,0,0,0
44,631,631,631,631,188,188
8237,2310,2310,889,889,204,18
46,0,0,0,0,0,0
8239,5276,4815,3917,2650,1535,739
8240,122,91,42,20,4,0
8200,1409,1136,487,140,67,16
50,123,120,79,34,8,2
8243,948,851,680,464,273,155
52,813,813,466,197,197,59
8245,907,661,274,93,43,9
54,0,0,0,0,0,0
8247,5188,4551,3390,2225,583,227
56,0,0,0,0,0,0
57,912,719,466,220,66,17
58,905,752,216,91,5,0
59,967,499,214,69,13,3
60,779,747,462,137,61,6
8202,1244,1244,1244,227,227,29
62,779,747,462,137,61,6
63,5199,5199,4687,3560,3560,1959
65,931,931,760,505,268,63
66,0,0,0,0,0,0
67,577,577,577,214,214,50
68,3503,3503,2288,1078,293,34
8261,3718,3241,1531,816,135,11
70,763,479,237,89,25,11
72,3422,3422,1606,1606,517,85
73,2886,2886,1718,771,288,79
74,0,0,0,0,0,0
75,960,920,639,360,87,9
8268,104,71,23,4,0,0
77,0,0,0,0,0,0
78,3509,2164,1095,454,175,55
79,117,52,15,4,1,0
80,4617,4538,3724,1998,643,104
83,952,873,439,105,10,0
84,3435,3435,2127,1086,419,92
85,30,30,30,30,30,30
8278,959,885,660,343,56,13
87,961,935,746,321,81,9
88,744,454,235,104,10,1
8283,0,0,0,0,0,0
92,3544,3544,2637,1273,1273,340
93,803,747,511,215,60,3
94,117,52,15,4,1,0
95,2886,2886,1718,771,288,79
8288,0,0,0,0,0,0
97,952,952,886,886,745,532
98,0,0,0,0,0,0
99,118,103,49,16,3,1
100,0,0,0,0,0,0
101,942,942,755,755,361,361
102,3435,3435,2127,1086,419,92
103,122,105,55,17,3,1
104,3440,3440,1683,1683,476,64
8297,940,788,389,110,27,0
106,3326,3326,1385,277,277,53
107,5117,3980,2705,1587,788,307
8300,450,450,450,450,137,137
109,123,116,66,33,9,2
8302,1490,1452,1070,434,207,30
111,855,635,355,140,55,12
112,0,0,0,0,0,0
8305,960,898,695,387,73,13
114,631,631,631,631,188,188
8307,0,0,0,0,0,0
116,3252,2962,2403,1033,504,76
8309,5157,4198,2490,1100,391,17
118,0,0,0,0,0,0
8311,594,594,594,594,594,224
120,877,877,553,238,75,18
121,0,0,0,0,0,0
123,3503,3503,2288,1078,293,34
124,941,848,457,288,79,11
125,347,347,52,52,3,3
126,980,980,980,980,980,980
127,1397,1179,517,266,51,6
128,3710,3710,1780,1780,496,65
129,3326,3326,1385,277,277,53
130,3320,3262,2689,1446,465,68
8323,928,841,688,298,141,16
8324,3733,3316,2400,1340,552,181
133,773,687,425,158,25,4
8327,926,926,853,700,700,468
136,905,711,474,91,30,1
137,928,789,595,226,84,9
138,2081,1987,1557,889,360,40
139,0,0,0,0,0,0
140,0,0,0,0,0,0
142,0,0,0,0,0,0
143,3828,3645,2938,1620,554,92
144,957,878,666,237,86,9
145,1457,1374,995,445,114,15
8338,111,89,30,9,1,0
147,3765,3525,3059,2301,1517,832
8340,0,0,0,0,0,0
8341,0,0,0,0,0,0
150,3558,3558,2477,1330,520,126
151,955,902,795,619,400,76
152,959,944,803,525,191,46
154,0,0,0,0,0,0
155,0,0,0,0,0,0
158,910,910,756,473,210,81
160,980,980,980,980,980,980
161,0,0,0,0,0,0
8354,2486,2486,1104,343,343,69
163,3666,3173,2334,1436,739,122
8356,0,0,0,0,0,0
8357,801,751,549,281,100,13
8358,0,0,0,0,0,0
167,0,0,0,0,0,0
168,3432,3432,1907,754,208,44
170,2078,1990,1390,887,253,47
171,1162,720,359,53,17,0
172,719,719,463,206,74,19
175,581,581,327,160,52,14
8368,0,0,0,0,0,0
177,122,112,85,51,23,0
8370,0,0,0,0,0,0
180,920,730,171,63,9,1
181,735,445,234,56,10,0
8374,797,747,486,262,55,5
8375,1434,1205,686,262,29,4
184,3812,3404,2278,631,193,11
185,857,551,313,142,18,4
8378,959,872,637,324,92,10
187,0,0,0,0,0,0
189,336,336,336,69,69,9
190,910,910,756,473,210,81
191,2786,1592,687,253,75,1
8384,0,0,0,0,0,0
193,954,923,752,399,230,29
194,0,0,0,0,0,0
195,0,0,0,0,0,0
197,0,0,0,0,0,0
8390,0,0,0,0,0,0
199,0,0,0,0,0,0
8393,1391,1084,426,231,52,13
202,122,101,46,13,4,1
8395,44,44,44,44,44,44
204,3435,3435,2127,1086,419,92
205,735,445,234,56,10,0
206,0,0,0,0,0,0
8399,0,0,0,0,0,0
210,3828,3645,2938,1620,554,92
8403,0,0,0,0,0,0
212,398,398,398,398,398,105
8405,980,980,980,980,980,980
214,3824,3736,3187,1977,720,139
216,679,679,353,147,147,47
217,2786,1592,687,253,75,1
8410,797,758,602,323,96,5
219,117,52,15,4,1,0
8412,120,120,100,65,30,6
221,0,0,0,0,0,0
222,3306,3306,1277,1277,206,206
223,955,932,777,644,298,65
225,907,721,358,226,67,24
8418,108,108,48,1,0,0
227,4445,3901,2067,1261,343,149
228,3812,3404,2278,631,193,11
8230,326,326,326,326,326,326
8423,0,0,0,0,0,0
8424,0,0,0,0,0,0
233,0,0,0,0,0,0
235,848,848,503,503,141,22
236,3432,3432,1907,754,208,44
237,117,52,15,4,1,0
238,3804,3669,2813,1287,639,98
239,813,813,432,432,182,182
8433,3222,2969,1747,1098,341,67
242,0,0,0,0,0,0
