Name,rank
MASSACHUSETTS INSTITUTE OF TECHNOLOGY |MIT ,1
STANFORD UNIVERSITY,2
HARVARD UNIVERSITY,3
UNIVERSITY OF CAMBRIDGE,4
CALIFORNIA INSTITUTE OF TECHNOLOGY |CALTECH,5
UNIVERSITY OF OXFORD,6
UCL |UNIVERSITY COLLEGE LONDON,7
ETH ZURICH |SWISS FEDERAL INSTITUTE OF TECHNOLOGY,8
IMPERIAL COLLEGE LONDON,9
UNIVERSITY OF CHICAGO,10
PRINCETON UNIVERSITY,11
NATIONAL UNIVERSITY OF SINGAPORE |NUS,12
NANYANG TECHNOLOGICAL UNIVERSITY |NTU,13
ECOLE POLYTECHNIQUE FÃ‰DÃ‰RALE DE LAUSANNE |EPFL,14
YALE UNIVERSITY,15
CORNELL UNIVERSITY,16
JOHNS HOPKINS UNIVERSITY,17
UNIVERSITY OF PENNSYLVANIA,18
UNIVERSITY OF EDINBURGH,19
COLUMBIA UNIVERSITY,20
KING'S COLLEGE LONDON |KCL,21
AUSTRALIAN NATIONAL UNIVERSITY |ANU,22
UNIVERSITY OF MICHIGAN,23
DUKE UNIVERSITY,24
TSINGHUA UNIVERSITY,25
NORTHWESTERN UNIVERSITY,26
UNIVERSITY OF HONG KONG |HKU,27
"UNIVERSITY OF CALIFORNIA, BERKELEY |UCB",28
THE UNIVERSITY OF MANCHESTER,29
MCGILL UNIVERSITY,30
"UNIVERSITY OF CALIFORNIA, LOS ANGELES |UCLA",31
UNIVERSITY OF TORONTO,32
"ECOLE NORMALE SUPÃ‰RIEURE, PARIS |ENS PARIS",33
THE UNIVERSITY OF TOKYO,34
SEOUL NATIONAL UNIVERSITY |SNU,35
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY |HKUST,36
KYOTO UNIVERSITY,37
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE |LSE,38
PEKING UNIVERSITY,39
"UNIVERSITY OF CALIFORNIA, SAN DIEGO |UCSD",40
UNIVERSITY OF BRISTOL,41
THE UNIVERSITY OF MELBOURNE,42
FUDAN UNIVERSITY,43
THE CHINESE UNIVERSITY OF HONG KONG |CUHK,44
UNIVERSITY OF BRITISH COLUMBIA,45
KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,46
NEW YORK UNIVERSITY |NYU,47
THE UNIVERSITY OF SYDNEY,48
BROWN UNIVERSITY,49
THE UNIVERSITY OF NEW SOUTH WALES |UNSW,50
THE UNIVERSITY OF QUEENSLAND |UQ,51
THE UNIVERSITY OF WARWICK,52
ECOLE POLYTECHNIQUE PARISTECH,53
UNIVERSITY OF WISCONSIN-MADISON,54
CITY UNIVERSITY OF HONG KONG,55
TOKYO INSTITUTE OF TECHNOLOGY,56
UNIVERSITY OF AMSTERDAM,57
CARNEGIE MELLON UNIVERSITY,58
UNIVERSITY OF WASHINGTON,59
TECHNISCHE UNIVERSITÃ„T MÃœNCHEN,60
SHANGHAI JIAO TONG UNIVERSITY,61
DELFT UNIVERSITY OF TECHNOLOGY,62
OSAKA UNIVERSITY,63
UNIVERSITY OF GLASGOW,64
MONASH UNIVERSITY,65
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,66
UNIVERSITY OF TEXAS AT AUSTIN,67
LUDWIG-MAXIMILIANS-UNIVERSITÃ„T MÃœNCHEN,68
NATIONAL TAIWAN UNIVERSITY |NTU,69
UNIVERSITY OF COPENHAGEN,70
GEORGIA INSTITUTE OF TECHNOLOGY |GEORGIA TECH,71
RUPRECHT-KARLS-UNIVERSITÃ„T HEIDELBERG,72
LUND UNIVERSITY,73
DURHAM UNIVERSITY,74
THE UNIVERSITY OF NOTTINGHAM,75
TOHOKU UNIVERSITY,76
UNIVERSITY OF ST ANDREWS,77
"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",78
KATHOLIEKE UNIVERSITEIT LEUVEN ,79
UNIVERSITY OF ZURICH,80
THE UNIVERSITY OF AUCKLAND,81
UNIVERSITY OF BIRMINGHAM,82
POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY |POSTECH,83
THE UNIVERSITY OF SHEFFIELD,84
UNIVERSIDAD DE BUENOS AIRES,85
"UNIVERSITY OF CALIFORNIA, DAVIS |UCD",86
UNIVERSITY OF SOUTHAMPTON,87
OHIO STATE UNIVERSITY,88
BOSTON UNIVERSITY,89
RICE UNIVERSITY,90
UNIVERSITY OF HELSINKI,91
PURDUE UNIVERSITY,92
UNIVERSITY OF LEEDS,93
UNIVERSITY OF ALBERTA,94
PENNSYLVANIA STATE UNIVERSITY,95
UNIVERSITY OF GENEVA,96
"KTH, ROYAL INSTITUTE OF TECHNOLOGY",97
"KIT, KARLSRUHER INSTITUT FÃœR TECHNOLOGIE",98
KOREA UNIVERSITY,99
TRINITY COLLEGE DUBLIN |TCD,100
UPPSALA UNIVERSITY,101
LEIDEN UNIVERSITY,102
THE UNIVERSITY OF WESTERN AUSTRALIA |UWA,103
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,104
UTRECHT UNIVERSITY,105
SUNGKYUNKWAN UNIVERSITY,106
WASHINGTON UNIVERSITY IN ST. LOUIS,107
LOMONOSOV MOSCOW STATE UNIVERSITY ,108
TECHNICAL UNIVERSITY OF DENMARK,109
ZHEJIANG UNIVERSITY,110
THE HONG KONG POLYTECHNIC UNIVERSITY,111
YONSEI UNIVERSITY,112
UNIVERSITY OF GRONINGEN,113
UNIVERSITY OF OSLO,114
NAGOYA UNIVERSITY,115
NANJING UNIVERSITY,116
AARHUS UNIVERSITY,117
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA |UCSB",118
WAGENINGEN UNIVERSITY,119
UNIVERSIDADE DE SÃƒO PAULO |USP,120
EINDHOVEN UNIVERSITY OF TECHNOLOGY,121
HUMBOLDT-UNIVERSITÃ„T ZU BERLIN,122
FREIE UNIVERSITÃ„T BERLIN,123
QUEEN MARY UNIVERSITY OF LONDON |QMUL,124
THE UNIVERSITY OF ADELAIDE,125
